,10%,15%,20%,25%,30%,35%,40%,45%,50%,Median
radius_mean,0.36741310296232943,0.40859970955505526,0.4258244327151639,0.4656776774938083,0.4654080700171736,0.479077386173959,0.48908983799991024,0.49186264089503456,0.4895158635218441,0.4536076357038087
texture_mean,0.2352204003530258,0.20698394657602456,0.20338459013376906,0.1919292688208943,0.18385203718347107,0.18834484286503386,0.1885794529740783,0.1929876376347442,0.19163740631003778,0.19810217587234208
perimeter_mean,0.09957326909599427,0.09622261729281711,0.10042404204125842,0.09621729462773296,0.09233396285742017,0.07697791747194496,0.07488593087215431,0.07343584582232177,0.07661046464285161,0.08740903830272174
area_mean,0.08955790305687353,0.08001788289982403,0.08015231911983522,0.07391677566951577,0.07681349973222845,0.07406434320892807,0.07275190734902229,0.06996431568400414,0.07371087211654596,0.07677220209297528
smoothness_mean,0.08403949870531985,0.07287277588149911,0.057200890480191856,0.05011667612782139,0.0533458010957057,0.054921103597701734,0.051376080931098335,0.04957449734538697,0.04697951206839331,0.05782520402590203
compactness_mean,0.04199926082898416,0.0388975107010613,0.03619752756384427,0.03223415888561253,0.034437439232807045,0.033329444828989356,0.03250981343301673,0.031423418186968005,0.028667880868440763,0.03441071716996935
concavity_mean,0.016571845130513723,0.02734981525552612,0.02294500928264905,0.019274642622570143,0.018989651346089764,0.02003910300185061,0.017595890629581997,0.017812975137811507,0.01864385996317725,0.01991364359664113
concave_points_mean,0.014488127938634477,0.014977790738551627,0.01316867462689477,0.013191078197342209,0.013828416347009225,0.012928283436749179,0.013467691197587107,0.012938638036055855,0.012692001362603424,0.01352007798682532
symmetry_mean,0.013167437953517432,0.011601009725499045,0.012627448785214183,0.011413014953006334,0.011568812642770756,0.011428207624621219,0.010657009227465698,0.010734067466972289,0.01112725478562534,0.011591584796076922
fractal_dimension_mean,0.008696387001197747,0.010063058002563676,0.012204055987806146,0.009018547147147038,0.010053421370325567,0.009417913744685745,0.009418735622253819,0.009065692370099654,0.00986406241004173,0.009755763739569014
radius_se,0.007543573352465869,0.008241965075196865,0.0094604448251708,0.008686526163238215,0.009097799715767465,0.008535124680844983,0.007975672911543226,0.007868616661172926,0.008226006577263106,0.008403969995851494
texture_se,0.005644886604831906,0.006272559570960979,0.007029952068177404,0.007408526538428459,0.00781337263210118,0.007096893352801425,0.00714497304611309,0.007056609049259428,0.007440245953092693,0.006989779868418509
perimeter_se,0.004334687431856911,0.0043347250374854,0.0057343206503514136,0.0056057847450978705,0.005897937014143247,0.005932677122677243,0.005717042294614309,0.005611352071259111,0.005883076982053994,0.005450178149948834
area_se,0.0029125826861751886,0.0032759526566794647,0.003261598950857614,0.004368475491457167,0.004539975185462629,0.004630721300103536,0.004518292746180231,0.005119970540873876,0.004374281989358815,0.004111316838572058
smoothness_se,0.002644287524188162,0.0026126909599042936,0.0025618434378765547,0.0025215273991065564,0.002963959514855811,0.0030239869454687426,0.003118289807526318,0.003060687703749343,0.0029710157675795494,0.0028309210066950366
compactness_se,0.0017384746913653413,0.002114322382358528,0.0017800131580912656,0.0020538877219510323,0.002164392268083018,0.002321009399152522,0.002421854184501333,0.002396375988634015,0.0023907912856725266,0.00215345789775662
concavity_se,0.0010289869372569148,0.0011509759140655303,0.0013853776664150253,0.0014275700021181745,0.0014516712172885301,0.0017006128071160296,0.0018754152938866382,0.0019222021714698117,0.0019210593499830522,0.0015404301510666342
concave_points_se,0.0008741590509072438,0.0011064522013931424,0.0011167872648305986,0.0010912346196053817,0.0012078520180735842,0.001337233800315502,0.0014631680051538107,0.0014599424113070937,0.001497577431476223,0.0012393785336736198
symmetry_se,0.0006190319646124302,0.0007950690028220045,0.0008740150067531081,0.0008342872635839657,0.0009011624211298203,0.001271924494768381,0.0013776195819728528,0.0013697992941346117,0.0013957727347993017,0.001048742418286275
fractal_dimension_se,0.0005149368819856943,0.0006558679246709595,0.0006452318451286686,0.0006857270322942853,0.0007717552420761524,0.0008610462988339994,0.0008306213097277198,0.0009763969682632642,0.0009247567779470591,0.000762926697880867
radius_worst,0.0003495922985932182,0.00048751066547105584,0.0004446507996415622,0.0005551587131120195,0.0006025552671088481,0.0006674808214162353,0.0008107824400520761,0.0008255135697061411,0.000811267808740024,0.00061716804264902
texture_worst,0.0003117780850653664,0.00033514005513399345,0.00037135420287319444,0.0004149009667339926,0.0004599176059337395,0.0005008744697107307,0.0007641989619979386,0.0007865337601774077,0.0007809963043042692,0.0005250771568811814
perimeter_worst,0.00022815366596055375,0.0003057048050160441,0.0003324058184953201,0.00040374732761385497,0.00042813838061327375,0.00046868688740435915,0.00044949049218358223,0.0005149237058920322,0.0006074939981182687,0.00041541612014414327
area_worst,0.0001602586786296517,0.00025582918675631436,0.0003024465580986953,0.000303054984183456,0.0003238215278149663,0.0003435761395175715,0.0003507844380691009,0.00034850077772434214,0.00039224373764716754,0.0003089462253823629
smoothness_worst,0.00014229656213222432,0.00018790759924889575,0.00021755852566548008,0.00024085960876747697,0.0003123839533491632,0.0003124816111377816,0.00030135072162301626,0.00032413879807103506,0.0003475437934544273,0.0002651690192721667
compactness_worst,0.00012538430785942676,0.00016880891253298724,0.0002010770375380674,0.00022929301116188686,0.0002270322218612853,0.0002526218908989835,0.0002647567440239415,0.0002718976321003078,0.0002856638282983375,0.00022517062069724711
concavity_worst,8.522600273560416e-05,9.16573687381757e-05,0.0001130489458390637,0.00012286008002427513,0.00014145250939564418,0.00014781515802856488,0.00021007707715238203,0.00021166173103097862,0.0002175843234145194,0.0001490425773732453
concave_points_worst,1.0928431121686015e-05,1.3896919468634845e-05,2.546683822293395e-05,3.889103826337441e-05,4.468943111148263e-05,4.586517453930786e-05,4.923344762195345e-05,5.0909462795716405e-05,5.570996551671897e-05,3.7287856517978725e-05
symmetry_worst,2.802456943049792e-06,4.84263433062469e-06,1.0527827419651989e-05,1.4259443830814669e-05,1.4552554827302336e-05,1.6380150105063022e-05,1.934194045937218e-05,1.9764710980324405e-05,2.2933485129764864e-05,1.3933911558440883e-05
fractal_dimension_worst,7.393589232093851e-07,2.0044993440290555e-06,2.8878359266996198e-06,4.293303976742759e-06,4.4674940014531285e-06,4.4415406954184145e-06,4.684319428321463e-06,4.4744119991402465e-06,4.79985658903838e-06,3.6436245426724955e-06
